code,date,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,reached,stopped,days_to_reach,min_low_pct,ma_arr,total_range,prev_range,high_pt,low_pt,cond1_hit,cond2_hit,cond3_hit,strategy_full
003530,20260127,4.09,3.49,7.1,6940,5385,True,False,5.0,0.17,MA5>MA120>MA20>MA60>MA40,430,350,6380,5820,False,False,False,False
003570,20260109,3.51,6.1,6.43,61000,45975,False,False,,-11.86,MA120>MA5>MA60>MA20>MA40,5750,2700,57300,48500,False,False,False,False
003580,20260102,2.16,6.67,4.74,2980,2048,False,False,,-8.02,MA120>MA5>MA40>MA20>MA60,255,190,2620,2200,False,False,False,False
003720,20251117,4.29,12.64,6.93,11280,4575,False,False,,-8.39,MA5>MA20>MA60>MA40>MA120,1270,1490,7970,5760,False,False,False,False
004020,20260123,2.06,7.96,3.1,50200,30450,False,True,,-14.88,MA5>MA120>MA60>MA20>MA40,3000,4550,39500,34900,True,False,False,False
004090,20260130,4.08,4.11,6.76,17750,13625,True,False,12.0,-9.71,MA5>MA20>MA40>MA60>MA120,1550,750,16700,14550,False,False,False,False
004310,20251205,7.83,6.57,29.91,5700,2930,True,False,1.0,36.43,MA5>MA60>MA120>MA20>MA40,1420,300,5360,3530,False,False,False,False
004310,20251208,14.43,29.91,29.84,8870,3015,True,False,13.0,0.35,MA5>MA20>MA60>MA120>MA40,2370,1010,7580,3680,False,False,False,False
004310,20260116,7.29,29.89,24.91,20190,5645,False,False,,-5.83,MA5>MA20>MA40>MA60>MA120,5030,2590,15780,7610,False,False,False,False
004800,20251027,2.81,5.57,5.1,134200,103700,True,False,5.0,-0.26,MA5>MA20>MA40>MA60>MA120,10600,5900,125500,107900,False,False,False,False
004800,20251103,5.68,2.67,28.18,175500,106450,False,False,,-16.36,MA5>MA20>MA40>MA60>MA120,37300,5900,168300,123500,True,False,False,False
004800,20251111,8.92,8.81,12.77,188800,119600,False,True,,-29.43,MA5>MA20>MA40>MA60>MA120,29800,12200,176500,128100,False,False,False,False
004920,20260105,2.07,8.61,24.55,1714,880,False,False,,-10.13,MA120>MA60>MA5>MA40>MA20,377,97,1543,1070,False,False,False,False
004960,20251204,5.88,30.0,9.86,19200,6680,False,False,,-15.73,MA5>MA20>MA120>MA40>MA60,3640,2570,14710,8400,False,False,False,False
004960,20251212,2.55,13.35,5.01,17850,9220,False,False,,-19.28,MA5>MA20>MA40>MA60>MA120,1820,1890,13840,10640,True,False,False,False
004990,20260123,2.42,0.17,4.67,31700,27775,True,False,2.0,-1.35,MA5>MA120>MA60>MA40>MA20,1650,650,30900,28350,False,False,False,False
005070,20251022,2.64,13.15,2.82,102250,46100,False,False,,-18.87,MA5>MA20>MA40>MA60>MA120,8200,13250,71650,57850,True,False,False,False
005090,20260204,8.6,3.76,17.65,33400,19250,True,False,6.0,6.25,MA120>MA60>MA5>MA40>MA20,4500,2600,28600,22250,False,False,False,False
005380,20251016,6.04,0.22,8.28,241000,213500,True,False,1.0,1.05,MA5>MA40>MA20>MA60>MA120,19000,4000,246000,216000,False,False,False,False
005385,20251016,3.65,0.59,5.77,179300,163400,True,False,1.0,0.85,MA5>MA40>MA20>MA60>MA120,10800,1900,181500,164000,False,False,False,False
005387,20251016,3.57,0.29,5.56,178300,165450,True,False,1.0,0.9,MA5>MA40>MA60>MA20>MA120,9900,1200,181500,166100,False,False,False,False
005389,20251016,2.91,0.84,5.99,180250,161450,True,False,2.0,1.9,MA5>MA40>MA20>MA60>MA120,11500,2050,180750,162950,False,False,False,False
005420,20251017,4.69,9.67,6.44,24370,14865,False,False,,-6.91,MA5>MA60>MA40>MA20>MA120,2650,1980,20820,16440,False,False,False,False
005690,20251024,2.33,5.9,4.51,18920,12580,True,False,9.0,2.75,MA5>MA20>MA60>MA40>MA120,1500,1370,16200,13820,False,False,False,False
005750,20260203,3.51,1.4,12.25,5735,4228,True,False,5.0,5.56,MA40>MA60>MA5>MA20>MA120,695,190,5460,4515,False,False,False,False
005800,20251022,2.98,5.03,4.93,16710,12435,False,False,,-8.32,MA40>MA20>MA60>MA5>MA120,1350,840,15300,13560,False,False,False,False
005800,20260204,2.44,6.67,7.08,24570,14645,False,False,,-13.25,MA5>MA40>MA60>MA20>MA120,2230,2010,20000,16870,True,False,False,False
005850,20260116,2.23,1.29,6.04,57050,44000,True,False,3.0,0.0,MA5>MA20>MA40>MA60>MA120,4000,2400,52400,47650,False,False,False,False
005930,20260105,4.75,7.17,7.47,156900,111250,True,False,13.0,-1.41,MA5>MA20>MA40>MA60>MA120,17900,8300,146400,115100,False,False,False,False
005935,20260105,3.28,5.83,8.05,114500,82800,True,False,13.0,-0.31,MA5>MA20>MA40>MA60>MA120,12800,5200,107200,86300,False,False,False,False
005950,20251017,2.35,2.98,5.79,6210,5145,True,False,3.0,0.35,MA60>MA120>MA40>MA20>MA5,470,160,6010,5310,False,False,False,False
005950,20251023,23.18,29.95,29.93,9920,5625,True,False,1.0,23.66,MA5>MA60>MA120>MA20>MA40,2790,620,10430,5610,False,False,False,False
005950,20251024,22.22,29.93,26.4,12500,7750,True,False,2.0,-10.51,MA5>MA20>MA60>MA40>MA120,3100,760,13160,7860,False,False,False,False
005950,20251208,2.05,0.76,9.5,11410,8730,False,True,,-7.83,MA20>MA5>MA40>MA60>MA120,940,410,10550,9550,True,False,False,False
006040,20251024,5.0,2.92,7.5,50900,40700,True,False,1.0,4.33,MA120>MA60>MA40>MA20>MA5,4400,1900,49200,42100,False,False,False,False
006040,20251027,2.54,7.5,5.71,60700,44300,False,False,,-8.25,MA120>MA5>MA60>MA40>MA20,3800,3400,53400,47600,True,False,False,False
006110,20251210,5.34,-0.98,7.91,31300,24150,False,True,,-12.2,MA5>MA40>MA20>MA60>MA120,2100,1450,28750,25850,True,False,False,False
006110,20260129,4.93,4.07,5.78,34400,27950,True,False,1.0,8.75,MA5>MA40>MA20>MA60>MA120,2100,1500,32600,31500,False,False,False,False
006120,20251027,2.78,2.86,7.04,61600,51200,True,False,2.0,1.98,MA5>MA60>MA40>MA20>MA120,4400,1700,59500,53300,False,False,False,False
006280,20251211,4.44,1.05,11.84,153400,125600,True,False,1.0,3.12,MA5>MA20>MA120>MA40>MA60,17000,2600,153700,129800,False,False,False,False
006340,20251030,2.41,11.37,3.26,4875,2988,False,False,,-9.0,MA5>MA20>MA40>MA60>MA120,435,410,4050,3310,False,False,False,False
006400,20260122,2.78,-0.61,18.67,427500,281750,False,False,,6.76,MA5>MA60>MA40>MA20>MA120,68500,16500,401000,323000,False,False,False,False
006490,20251223,2.67,9.05,18.14,1058,570,False,True,,-24.66,MA120>MA40>MA60>MA20>MA5,180,74,914,664,True,False,False,False
006490,20260107,7.35,29.96,8.07,1206,416,False,False,,-17.32,MA120>MA60>MA40>MA20>MA5,223,169,919,527,False,False,False,False
006650,20251112,2.19,-0.29,15.84,172400,123600,False,False,,-4.29,MA5>MA20>MA40>MA60>MA120,23400,4600,163300,138000,False,False,False,False
006800,20251027,4.12,5.88,6.17,28650,22725,False,True,,-12.65,MA5>MA20>MA40>MA60>MA120,2050,1150,26950,23750,False,False,False,False
006805,20251219,2.14,4.97,3.39,15210,10320,True,False,2.0,1.22,MA5>MA40>MA20>MA60>MA120,840,1110,12690,11410,False,False,False,False
007070,20251107,2.65,3.12,8.98,23290,17390,False,False,,4.16,MA5>MA20>MA40>MA60>MA120,1840,1110,21260,18870,False,False,False,False
007690,20260128,3.66,1.86,6.33,40850,33750,True,False,17.0,-3.93,MA5>MA120>MA20>MA40>MA60,2700,1350,39150,35250,False,False,False,False
007810,20251111,2.52,2.83,9.63,29920,19325,True,False,2.0,1.57,MA5>MA20>MA40>MA60>MA120,3050,2140,26040,21840,False,False,False,False
007980,20251114,2.52,2.7,4.82,2009,1677,True,False,1.0,2.4,MA60>MA5>MA40>MA20>MA120,130,59,1931,1763,False,False,False,False
008970,20260115,3.84,0.47,4.25,1844,1645,True,False,3.0,-3.81,MA120>MA60>MA40>MA20>MA5,80,44,1809,1709,False,False,False,False
009070,20260204,4.22,8.01,16.13,10110,5740,False,True,,-23.29,MA5>MA20>MA40>MA60>MA120,1500,730,8720,6690,False,False,False,False
009420,20251201,2.67,4.0,17.95,63950,40950,False,True,,-14.98,MA5>MA20>MA40>MA60>MA120,9500,3050,58250,47150,False,False,False,False
009470,20260122,6.86,28.59,11.18,73250,23875,False,False,,-8.44,MA5>MA120>MA60>MA20>MA40,13250,10600,54350,31200,False,False,False,False
009830,20260123,2.14,3.12,5.69,32150,26250,True,False,8.0,-8.19,MA120>MA5>MA60>MA20>MA40,2300,950,30650,27100,False,False,False,False
009835,20260115,2.49,3.76,3.17,27650,20550,False,True,,-9.71,MA120>MA60>MA5>MA20>MA40,1500,1600,24400,22050,True,False,False,False
009970,20260121,2.65,-0.16,4.81,209200,178400,True,False,7.0,-2.32,MA20>MA40>MA5>MA60>MA120,10400,5400,199400,188500,False,False,False,False
