stop_pct,total,stop_rate,win_rate,survive_cnt,survive_win_rate,exp_value_simple
-8.0,24,16.666666666666664,83.33333333333334,20,95.0,0.6666666666666667
-7.5,24,16.666666666666664,83.33333333333334,20,95.0,0.6666666666666667
-7.0,24,20.833333333333336,83.33333333333334,19,100.0,0.625
-6.5,24,20.833333333333336,83.33333333333334,19,100.0,0.625
-6.0,24,25.0,83.33333333333334,18,100.0,0.5833333333333334
-5.5,24,25.0,83.33333333333334,18,100.0,0.5833333333333334
-5.0,24,25.0,83.33333333333334,18,100.0,0.5833333333333334
-4.5,24,25.0,83.33333333333334,18,100.0,0.5833333333333334
-4.0,24,25.0,83.33333333333334,18,100.0,0.5833333333333334
-3.0,24,29.166666666666668,83.33333333333334,17,100.0,0.5416666666666667
