group,count,win_rate_pct,loss_rate_pct,flat_rate_pct,avg_win_pct,avg_loss_pct,expectancy_pct_per_trade
tail_break (0저가 ≤ -1종가),2,50.0,50.0,0.0,80.0,-6.5,36.75
tail_clean (0저가 > -1종가),22,81.81818181818183,18.181818181818183,-1.0658141036401503e-14,80.0,-6.5,64.27272727272727
