code,name,market,market_cap_krw,market_cap_100m
001770,SHD,코스피,21100000000,211
001780,알루코,코스피,210100000000,2101
001790,대한제당,코스피,244000000000,2440
001795,대한제당우,코스피,15500000000,155
0017Y0,1Q 종합채권(AA-이상)액티브,코스피,92500000000,925
001800,오리온홀딩스,코스피,1544200000000,15442
001820,삼화콘덴서,코스피,523900000000,5239
0018C0,PLUS 고배당주위클리고정커버드콜,코스피,87900000000,879
0018Z0,RISE 미국양자컴퓨팅,코스피,15000000000,150
001940,KISCO홀딩스,코스피,344500000000,3445
0019K0,TIME 미국나스닥100채권혼합50액티브,코스피,150400000000,1504
002020,코오롱,코스피,708600000000,7086
002025,코오롱우,코스피,30600000000,306
002030,아세아,코스피,595900000000,5959
002070,비비안,코스피,17200000000,172
0020H0,KoAct 글로벌양자컴퓨팅액티브,코스피,40100000000,401
002100,경농,코스피,189600000000,1896
002140,고려산업,코스피,70100000000,701
002150,도화엔지니어링,코스피,212800000000,2128
002170,삼양통상,코스피,174600000000,1746
0021C0,ACE 장기자산배분액티브,코스피,13300000000,133
0021D0,ACE TDF2030액티브,코스피,16800000000,168
0021E0,ACE TDF2050액티브,코스피,67400000000,674
002200,한국수출포장,코스피,122400000000,1224
002210,동성제약,코스피,25900000000,259
002220,한일철강,코스피,106400000000,1064
002240,고려제강,코스피,565700000000,5657
0022T0,SOL 국제금커버드콜액티브,코스피,86200000000,862
002310,아세아제지,코스피,363500000000,3635
002320,한진,코스피,300600000000,3006
002350,넥센타이어,코스피,701300000000,7013
002355,넥센타이어1우B,코스피,26600000000,266
002360,SH에너지화학,코스피,43800000000,438
002380,KCC,코스피,4514300000000,45143
002390,한독,코스피,146200000000,1462
0023A0,SOL 미국양자컴퓨팅TOP10,코스피,403600000000,4036
0023B0,PLUS 미국양자컴퓨팅TOP10,코스피,29900000000,299
002410,범양건영,코스피,53200000000,532
002420,세기상사,코스피,33600000000,336
002450,삼익악기,코스피,108800000000,1088
002460,HS화성,코스피,126700000000,1267
0025N0,TIGER TDF2045,코스피,576700000000,5767
002600,조흥,코스피,89400000000,894
002620,제일파마홀딩스,코스피,147400000000,1474
002630,오리엔트바이오,코스피,63300000000,633
002690,동일제강,코스피,30300000000,303
0026E0,KODEX 미국S&P500버퍼3월액티브,코스피,77600000000,776
0026S0,1Q 미국S&P500,코스피,239500000000,2395
002700,신일전자,코스피,96400000000,964
002710,TCC스틸,코스피,361500000000,3615
002720,국제약품,코스피,106000000000,1060
002760,보락,코스피,73200000000,732
002780,진흥기업,코스피,116400000000,1164
002785,진흥기업우B,코스피,3000000000,30
002787,진흥기업2우B,코스피,2500000000,25
002790,아모레퍼시픽홀딩스,코스피,2052900000000,20529
002795,아모레퍼시픽홀딩스우,코스피,78500000000,785
00279K,아모레퍼시픽홀딩스3우C,코스피,164500000000,1645
002810,삼영무역,코스피,357000000000,3570
002820,SUN&L,코스피,29800000000,298
002840,미원상사,코스피,659800000000,6598
002870,신풍,코스피,44300000000,443
002880,대유에이텍,코스피,44000000000,440
0028X0,KODEX 미국금융테크액티브,코스피,17600000000,176
002900,TYM,코스피,277400000000,2774
002920,유성기업,코스피,51300000000,513
002960,한국쉘석유,코스피,686400000000,6864
002990,금호건설,코스피,176100000000,1761
002995,금호건설우,코스피,4100000000,41
003000,부광약품,코스피,590000000000,5900
003010,혜인,코스피,67800000000,678
003030,세아제강지주,코스피,669700000000,6697
003060,에이프로젠바이오로직스,코스피,56000000000,560
003070,코오롱글로벌,코스피,258800000000,2588
003075,코오롱글로벌우,코스피,11300000000,113
003080,SB성보,코스피,53100000000,531
003090,대웅,코스피,1363400000000,13634
0030R0,대신밸류리츠,코스피,261800000000,2618
003120,일성아이에스,코스피,313200000000,3132
003160,디아이,코스피,1021600000000,10216
003200,일신방직,코스피,289300000000,2893
003220,대원제약,코스피,243300000000,2433
003230,삼양식품,코스피,7894600000000,78946
003240,태광산업,코스피,1219200000000,12192
003280,흥아해운,코스피,702000000000,7020
003300,한일홀딩스,코스피,552800000000,5528
003350,한국화장품제조,코스피,208900000000,2089
003460,유화증권,코스피,207800000000,2078
003465,유화증권우,코스피,61200000000,612
003470,유안타증권,코스피,997000000000,9970
003475,유안타증권우,코스피,58600000000,586
003480,한진중공업홀딩스,코스피,138900000000,1389
003490,대한항공,코스피,9150300000000,91503
003495,대한항공우,코스피,26100000000,261
003520,영진약품,코스피,331400000000,3314
003530,한화투자증권,코스피,1591900000000,15919
003535,한화투자증권우,코스피,40500000000,405
003540,대신증권,코스피,2003000000000,20030
003545,대신증권우,코스피,683800000000,6838
003547,대신증권2우B,코스피,251000000000,2510
003550,LG,코스피,13833700000000,138337
003555,LG우,코스피,209000000000,2090
003570,SNT다이내믹스,코스피,1729100000000,17291
003580,HLB글로벌,코스피,99800000000,998
0035T0,PLUS 글로벌휴머노이드로봇액티브,코스피,98500000000,985
003610,방림,코스피,208600000000,2086
003620,KG모빌리티,코스피,708300000000,7083
003650,미창석유,코스피,196100000000,1961
003670,포스코퓨처엠,코스피,17157700000000,171577
003680,한성기업,코스피,31500000000,315
003690,코리안리,코스피,2532700000000,25327
0036D0,TIME 미국배당다우존스액티브,코스피,24300000000,243
0036R0,RISE 미국휴머노이드로봇,코스피,101600000000,1016
0036Z0,RISE 미국천연가스밸류체인,코스피,9500000000,95
003720,삼영,코스피,246200000000,2462
003780,진양산업,코스피,75000000000,750
003830,대한화섬,코스피,160800000000,1608
003850,보령,코스피,803000000000,8030
0038A0,KODEX 미국휴머노이드로봇,코스피,311500000000,3115
003920,남양유업,코스피,335400000000,3354
003925,남양유업우,코스피,82800000000,828
003960,사조대림,코스피,299200000000,2992
004000,롯데정밀화학,코스피,1297700000000,12977
004020,현대제철,코스피,4630600000000,46306
004060,SG세계물산,코스피,104900000000,1049
004080,신흥,코스피,130200000000,1302
004090,한국석유,코스피,242700000000,2427
0040S0,HANARO 글로벌피지컬AI액티브,코스피,36600000000,366
0040X0,SOL 팔란티어미국채커버드콜혼합,코스피,215500000000,2155
0040Y0,SOL 팔란티어커버드콜OTM채권혼합,코스피,332800000000,3328
004100,태양금속,코스피,110500000000,1105
004105,태양금속우,코스피,12900000000,129
004140,동방,코스피,131400000000,1314
004150,한솔홀딩스,코스피,133300000000,1333
004170,신세계,코스피,3433700000000,34337
0041D0,KODEX 미국AI소프트웨어TOP10,코스피,61100000000,611
0041E0,KODEX 미국S&P500액티브,코스피,56900000000,569
004250,NPC,코스피,137900000000,1379
004255,NPC우,코스피,12400000000,124
004270,남성,코스피,27500000000,275
004310,현대약품,코스피,292500000000,2925
004360,세방,코스피,283500000000,2835
004365,세방우,코스피,34100000000,341
004370,농심,코스피,2208000000000,22080
004380,삼익THK,코스피,206200000000,2062
0043B0,TIGER 머니마켓액티브,코스피,3511100000000,35111
0043Y0,TIME 차이나AI테크액티브,코스피,187000000000,1870
004410,서울식품,코스피,78000000000,780
004415,서울식품우,코스피,2600000000,26
004430,송원산업,코스피,208800000000,2088
004440,삼일씨엔에스,코스피,77800000000,778
004450,삼화왕관,코스피,60000000000,600
004490,세방전지,코스피,834400000000,8344
004540,깨끗한나라,코스피,73500000000,735
004545,깨끗한나라우,코스피,3700000000,37
004560,현대비앤지스틸,코스피,256300000000,2563
004690,삼천리,코스피,569700000000,5697
0046A0,TIGER 미국초단기(3개월이하)국채,코스피,357000000000,3570
0046Y0,ACE 미국배당퀄리티,코스피,50900000000,509
004700,조광피혁,코스피,457500000000,4575
004710,한솔테크닉스,코스피,154800000000,1548
004720,팜젠사이언스,코스피,83000000000,830
004770,써니전자,코스피,56700000000,567
0047A0,TIGER 차이나테크TOP10,코스피,246000000000,2460
0047N0,PLUS 차이나AI테크TOP10,코스피,12000000000,120
0047P0,RISE 테슬라고정테크100,코스피,20300000000,203
0047R0,RISE 팔란티어고정테크100,코스피,34900000000,349
004800,효성,코스피,2199700000000,21997
004830,덕성,코스피,73000000000,730
004835,덕성우,코스피,8500000000,85
004840,DRB동일,코스피,110000000000,1100
004870,티웨이홀딩스,코스피,39400000000,394
004890,동일산업,코스피,93900000000,939
0048J0,KODEX 미국머니마켓액티브,코스피,614500000000,6145
0048K0,KODEX 차이나휴머노이드로봇,코스피,236800000000,2368
004910,조광페인트,코스피,61100000000,611
004920,씨아이테크,코스피,57300000000,573
004960,한신공영,코스피,149300000000,1493
004970,신라교역,코스피,151800000000,1518
004980,성신양회,코스피,227300000000,2273
004985,성신양회우,코스피,7800000000,78
004990,롯데지주,코스피,3163000000000,31630
00499K,롯데지주우,코스피,24800000000,248
0049K0,ACE 미국배당퀄리티채권혼합50,코스피,20000000000,200
0049M0,ACE 미국배당퀄리티+커버드콜액티브,코스피,82200000000,822
005010,휴스틸,코스피,273600000000,2736
005030,부산주공,코스피,45100000000,451
005070,코스모신소재,코스피,1542600000000,15426
005090,SGC에너지,코스피,857400000000,8574
0050E0,PLUS 미국AI에이전트,코스피,4800000000,48
005110,한창,코스피,26500000000,265
005180,빙그레,코스피,745300000000,7453
0051A0,KoAct 브로드컴밸류체인액티브,코스피,18400000000,184
0051G0,SOL 미국원자력SMR,코스피,265200000000,2652
005250,녹십자홀딩스,코스피,658900000000,6589
005257,녹십자홀딩스2우,코스피,20200000000,202
0052D0,TIGER 코리아배당다우존스,코스피,479800000000,4798
0052S0,1Q 미국S&P500미국채혼합50액티브,코스피,254000000000,2540
0052T0,1Q 중단기회사채(A-이상)액티브,코스피,91200000000,912
005300,롯데칠성,코스피,1120000000000,11200
005305,롯데칠성우,코스피,61900000000,619
005320,온타이드,코스피,35300000000,353
005360,모나미,코스피,33800000000,338
005380,현대차,코스피,103607400000000,1036074
005385,현대차우,코스피,6080300000000,60803
005387,현대차2우B,코스피,9090600000000,90906
005389,현대차3우B,코스피,572600000000,5726
0053L0,TIGER 차이나휴머노이드로봇,코스피,398200000000,3982
0053M0,더제이 중소형포커스액티브,코스피,9600000000,96
005420,코스모화학,코스피,543900000000,5439
005430,한국공항,코스피,185500000000,1855
005440,현대지에프홀딩스,코스피,2469500000000,24695
005490,POSCO홀딩스,코스피,27153000000000,271530
005500,삼진제약,코스피,242800000000,2428
005610,SPC삼립,코스피,451300000000,4513
005680,삼영전자,코스피,255200000000,2552
005690,파미셀,코스피,955500000000,9555
005720,넥센,코스피,363600000000,3636
005725,넥센우,코스피,15800000000,158
005740,크라운해태홀딩스,코스피,99300000000,993
005745,크라운해태홀딩스우,코스피,4400000000,44
005750,대림바스,코스피,92700000000,927
0057H0,PLUS 미국S&P500미국채혼합50액티브,코스피,62000000000,620
005800,신영와코루,코스피,146600000000,1466
005810,풍산홀딩스,코스피,540600000000,5406
005820,원림,코스피,35800000000,358
005830,DB손해보험,코스피,12336500000000,123365
005850,에스엘,코스피,2949500000000,29495
005870,휴니드,코스피,120700000000,1207
005880,대한해운,코스피,800400000000,8004
005930,삼성전자,코스피,1110524100000000,11105241
005935,삼성전자우,코스피,112686100000000,1126861
005940,NH투자증권,코스피,11403000000000,114030
005945,NH투자증권우,코스피,490600000000,4906
005950,이수화학,코스피,206400000000,2064
005960,동부건설,코스피,173900000000,1739
005965,동부건설우,코스피,4200000000,42
006040,동원산업,코스피,1666600000000,16666
006060,화승인더,코스피,183700000000,1837
006090,사조오양,코스피,77300000000,773
0060H0,TIGER 토탈월드스탁액티브,코스피,361700000000,3617
006110,삼아알미늄,코스피,541400000000,5414
006120,SK디스커버리,코스피,968200000000,9682
006125,SK디스커버리우,코스피,48700000000,487
0061Z0,RISE 단기특수은행채액티브,코스피,1483800000000,14838
006200,한국전자홀딩스,코스피,34900000000,349
006220,제주은행,코스피,505400000000,5054
006260,LS,코스피,8400500000000,84005
006280,녹십자,코스피,1746000000000,17460
006340,대원전선,코스피,454000000000,4540
006345,대원전선우,코스피,10700000000,107
006360,GS건설,코스피,1929900000000,19299
006370,대구백화점,코스피,49900000000,499
006380,카프로,코스피,618500000000,6185
006400,삼성SDI,코스피,31307500000000,313075
006405,삼성SDI우,코스피,359200000000,3592
006490,인스코비,코스피,60200000000,602
0064K0,KODEX 금액티브,코스피,277400000000,2774
006570,대림통상,코스피,32000000000,320
0065G0,KODEX 차이나테크TOP10,코스피,34800000000,348
006650,대한유화,코스피,811900000000,8119
006660,삼성공조,코스피,95600000000,956
0066W0,SOL 국제금,코스피,141500000000,1415
006740,블루산업개발,코스피,31700000000,317
0067V0,TIGER 차이나글로벌리더스TOP3+,코스피,55600000000,556
0067Y0,TIGER 차이나AI소프트웨어,코스피,22000000000,220
006800,미래에셋증권,코스피,40093000000000,400930
006805,미래에셋증권우,코스피,335000000000,3350
00680K,미래에셋증권2우B,코스피,2952300000000,29523
006840,AK홀딩스,코스피,106500000000,1065
006880,신송홀딩스,코스피,84900000000,849
006890,태경케미컬,코스피,100200000000,1002
0068M0,KODEX 미국S&P500버퍼6월액티브,코스피,58900000000,589
006980,우성,코스피,66700000000,667
0069M0,1Q 미국나스닥100,코스피,111900000000,1119
007070,GS리테일,코스피,1619500000000,16195
007110,일신석재,코스피,123500000000,1235
007120,미래아이앤지,코스피,52500000000,525
007160,사조산업,코스피,260000000000,2600
007210,벽산,코스피,125400000000,1254
007280,한국특강,코스피,85000000000,850
0072R0,TIGER KRX금현물,코스피,1564400000000,15644
007310,오뚜기,코스피,1474900000000,14749
007340,DN오토모티브,코스피,2097600000000,20976
0073X0,FOCUS 알리바바미국채커버드콜혼합,코스피,10300000000,103
007460,에이프로젠,코스피,102100000000,1021
0074K0,KoAct K수출핵심기업TOP30액티브,코스피,132700000000,1327
007540,샘표,코스피,162800000000,1628
007570,일양약품,코스피,249100000000,2491
007575,일양약품우,코스피,5800000000,58
007590,동방아그로,코스피,80200000000,802
007610,선도전기,코스피,54000000000,540
007660,이수페타시스,코스피,7715300000000,77153
007690,국도화학,코스피,328800000000,3288
007700,F&F홀딩스,코스피,701300000000,7013
007810,코리아써키트,코스피,1235400000000,12354
007815,코리아써우,코스피,42900000000,429
00781K,코리아써키트2우B,코스피,9400000000,94
007860,서연,코스피,231300000000,2313
0078V0,PLUS 미국로보택시,코스피,7500000000,75
007980,TP,코스피,96600000000,966
0079X0,ACE BYD밸류체인액티브,코스피,3100000000,31
008040,사조동아원,코스피,163300000000,1633
008060,대덕,코스피,438200000000,4382
00806K,대덕1우,코스피,13000000000,130
0080G0,KODEX 방산TOP10,코스피,558300000000,5583
0080X0,SOL 미국S&P500미국채혼합50,코스피,60600000000,606
0080Y0,SOL 조선TOP3플러스레버리지,코스피,150000000000,1500
008110,대동전자,코스피,157800000000,1578
008250,이건산업,코스피,42200000000,422
008260,NI스틸,코스피,99200000000,992
0082F0,HANARO 유럽방산,코스피,10000000000,100
0082V0,KODEX TDF2060액티브,코스피,113100000000,1131
008350,남선알미늄,코스피,219200000000,2192
008355,남선알미우,코스피,4500000000,45
0083S0,1Q 미국메디컬AI,코스피,42400000000,424
008420,문배철강,코스피,44200000000,442
008490,서흥,코스피,234300000000,2343
0084D0,KIWOOM 미국테크100월간목표헤지액티브,코스피,9600000000,96
0084E0,KIWOOM 미국대형주500월간목표헤지액티브,코스피,30500000000,305
008500,일정실업,코스피,14400000000,144
0085N0,ACE 미국10년국채액티브(H),코스피,121600000000,1216
0085P0,ACE 미국10년국채액티브,코스피,89500000000,895
008600,윌비스,코스피,17700000000,177
0086B0,TIGER 리츠부동산인프라TOP10액티브,코스피,92000000000,920
0086C0,TIGER 리츠부동산인프라10채권혼합액티브,코스피,16100000000,161
008700,아남전자,코스피,91800000000,918
008730,율촌화학,코스피,608800000000,6088
008770,호텔신라,코스피,1685700000000,16857
008775,호텔신라우,코스피,25600000000,256
0087F0,ACE 차이나AI빅테크TOP2+액티브,코스피,12200000000,122
008870,금비,코스피,45200000000,452
0088N0,WON K-글로벌수급상위,코스피,26700000000,267
008930,한미사이언스,코스피,2506600000000,25066
008970,KBI동양철관,코스피,179400000000,1794
0089B0,PLUS 미국나스닥100미국채혼합50,코스피,20900000000,209
0089C0,KODEX 미국S&P500변동성확대시커버드콜,코스피,84400000000,844
0089D0,KODEX 금융고배당TOP10,코스피,231700000000,2317
009070,KCTC,코스피,194400000000,1944
0090B0,PLUS K방산소부장,코스피,16500000000,165
009140,경인전자,코스피,34600000000,346
009150,삼성전기,코스피,30661800000000,306618
009155,삼성전기우,코스피,488700000000,4887
009160,SIMPAC,코스피,319700000000,3197
009180,한솔로지스틱스,코스피,82900000000,829
009190,대양금속,코스피,53400000000,534
0091C0,KODEX 미국10년국채액티브(H),코스피,159900000000,1599
0091M0,HANARO 27-06 회사채(AA-이상)액티브,코스피,103800000000,1038
0091P0,TIGER 코리아원자력,코스피,625000000000,6250
009200,무림페이퍼,코스피,81900000000,819
009240,한샘,코스피,997800000000,9978
009270,신원,코스피,157800000000,1578
009290,광동제약,코스피,442700000000,4427
0092B0,SOL 한국원자력SMR,코스피,153400000000,1534
0092C0,SOL 27-12 회사채(AA-이상)액티브,코스피,198000000000,1980
009310,참엔지니어링,코스피,23300000000,233
009320,아진전자부품,코스피,49300000000,493
0093A0,RISE AI반도체TOP10,코스피,232600000000,2326
0093B0,RISE 엔비디아고정테크100,코스피,11700000000,117
0093D0,KoAct 팔란티어밸류체인액티브,코스피,39000000000,390
009410,태영건설,코스피,541900000000,5419
009415,태영건설우,코스피,4000000000,40
009420,한올바이오파마,코스피,2789700000000,27897
009440,KC그린홀딩스,코스피,17600000000,176
009450,경동나비엔,코스피,896000000000,8960
009460,한창제지,코스피,29600000000,296
009470,삼화전기,코스피,258600000000,2586
0094K0,TIGER 28-04 회사채(A+이상)액티브,코스피,297300000000,2973
0094L0,RISE 차이나테크TOP10위클리타겟커버드콜,코스피,16000000000,160
0094M0,RISE 코리아밸류업위클리고정커버드콜,코스피,44500000000,445
0094X0,1Q 샤오미밸류체인액티브,코스피,16200000000,162
009540,HD한국조선해양,코스피,29123100000000,291231
009580,무림P&P,코스피,150900000000,1509
009680,모토닉,코스피,308800000000,3088
009770,삼정펄프,코스피,81400000000,814
0097L0,KIWOOM 한국고배당&미국AI테크,코스피,29500000000,295
009810,플레이그램,코스피,32000000000,320
009830,한화솔루션,코스피,7881300000000,78813
009835,한화솔루션우,코스피,70700000000,707
0098F0,KODEX 원자력SMR,코스피,277900000000,2779
0098N0,PLUS 자사주매입고배당주,코스피,96800000000,968
0098Z0,FOCUS 200,코스피,49100000000,491
009900,명신산업,코스피,565100000000,5651
009970,영원무역홀딩스,코스피,3010300000000,30103
0099L0,ACE 우량회사채(AA-이상)액티브,코스피,143200000000,1432
010040,한국내화,코스피,83200000000,832
010060,OCI홀딩스,코스피,2953600000000,29536
0100K0,KODEX 방산TOP10레버리지,코스피,88700000000,887
010100,한국무브넥스,코스피,137900000000,1379
010120,LS ELECTRIC,코스피,21870000000000,218700
010130,고려아연,코스피,34002100000000,340021
010140,삼성중공업,코스피,25476000000000,254760
0101N0,RISE AI전력인프라,코스피,197900000000,1979
0102A0,TIGER 미국AI소프트웨어TOP4Plus,코스피,93300000000,933
0102X0,ACE 유럽방산TOP10,코스피,11200000000,112
0103T0,1Q K소버린AI,코스피,26600000000,266
010400,우진아이엔에스,코스피,29100000000,291
0104G0,PLUS K방산레버리지,코스피,36000000000,360
0104H0,KoAct 미국나스닥채권혼합50액티브,코스피,55100000000,551
0104N0,TIGER 200타겟위클리커버드콜,코스피,148200000000,1482
0104P0,TIGER 코리아배당다우존스위클리커버드콜,코스피,38500000000,385
010580,에스엠벡셀,코스피,224200000000,2242
0105D0,SOL 한국AI소프트웨어,코스피,13700000000,137
0105E0,SOL 코리아고배당,코스피,576300000000,5763
010640,진양폴리,코스피,25800000000,258
010660,화천기계,코스피,126900000000,1269
010690,화신,코스피,445200000000,4452
0106J0,대신 KOSPI200인덱스 X클래스,코스피,17200000000,172
010770,평화홀딩스,코스피,57500000000,575
010780,아이에스동서,코스피,967500000000,9675
0107F0,KIWOOM 미국고배당&AI테크,코스피,27600000000,276
010820,퍼스텍,코스피,377500000000,3775
010950,S-Oil,코스피,11888700000000,118887
010955,S-Oil우,코스피,216000000000,2160
010960,삼호개발,코스피,93500000000,935
011000,진원생명과학,코스피,91500000000,915
011070,LG이노텍,코스피,6023300000000,60233
011090,에넥스,코스피,26700000000,267
011150,CJ씨푸드,코스피,95200000000,952
011155,CJ씨푸드1우,코스피,2900000000,29
011170,롯데케미칼,코스피,2972900000000,29729
0111J0,HANARO 증권고배당TOP3플러스,코스피,95800000000,958
0111P0,1Q 미국나스닥100미국채혼합50액티브,코스피,197000000000,1970
011200,HMM,코스피,19855200000000,198552
011210,현대위아,코스피,2205500000000,22055
011230,삼화전자,코스피,49900000000,499
011280,태림포장,코스피,132200000000,1322
0112X0,마이티 200TR,코스피,29100000000,291
011300,성안머티리얼스,코스피,49000000000,490
011330,유니켐,코스피,69100000000,691
011390,부산산업,코스피,80700000000,807
0113D0,TIME 글로벌탑픽액티브,코스피,87900000000,879
0113G0,KoAct 미국바이오헬스케어액티브,코스피,14100000000,141
0113P0,HK 머니마켓액티브,코스피,52300000000,523
011420,갤럭시아에스엠,코스피,48800000000,488
0114X0,RISE 글로벌게임테크TOP3Plus,코스피,5800000000,58
011500,한농화성,코스피,339300000000,3393
0115C0,RISE 미국고배당다우존스TOP10,코스피,17500000000,175
0115D0,KODEX 조선TOP10,코스피,138800000000,1388
0115E0,KODEX 코리아소버린AI,코스피,102800000000,1028
011690,와이투솔루션,코스피,242100000000,2421
011700,한신기계,코스피,163500000000,1635
